,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,image,image2,bus,railway,public_transport,PublicTraffic,What
119,26.5906679238811,31.7923976539705,دير القديسة العذراء مريم بأخميم,Monastery of the Virgin Mary in Akhmim,العصر الحديث,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
120,26.6065403860647,31.7895859466392,دير الملاك ميخائيل بأخميم,Archangel Michael Monastery in Akhmim,العصر الحديث,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
121,26.5983976753694,31.7914061610049,دير الشهداء بأخميم إيبارشيه,Monastery of the Martyrs Akhmim Diocese,العصر الحديث,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
122,25.8828325490300,32.6955498807747,دير رئيس الملائكة ميخائيل,Monastery of the Archangel Michael,العصر الحديث,محافظة قنا,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
123,25.8484374021507,32.7036464262812,دير الصليب ولأنبا شنودة,Monastery of the Cross and Anba Shenouda,العصر الحديث,محافظة قنا,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
124,25.8496521241258,32.7042414225393,دير الأنبا أدراوس,Monastery of Anba Adraos,العصر الحديث,محافظة قنا,"دير القديس أندرآس أبو الليف بنقادة ويُعرف مُختصراً باسم دير أبو الليف، هو دير قبطي أرثوذكسي وأحد الأديرة العامرة بصحراء نقادة غرب النيل. يقع الدير في قرية حاجر دنفيق إحدى قرى مركز نقادة ويبعد الدير عن مدينة نقادة حوالى 8 كم، ويبعد عن دير الصليب المقدس حوالى 130 متر وعن دير الملاك ميخائيل 6 كم، تم إنشاء الدير في القرن السابع الميلادي تقريباً على اسم القديس الأنبا أندرآس الشهير بـ أبو الليف وهو من آباء الجيل السابع وكان تلميذاً للأنبا بسنتاؤس أسقف قفط سنة 598 ميلادية، وهو من أهم الأديرة التي تقع في برية جبل الأساس بنقادة، ويشتهر الدير بوجود شجرة عمرها 1300 عام تسمي (الهجليج اللالوب) وتقع في وسط الدير حيث تطرح ثمار تشبه شكل البلح ولها نفس الطعم تقريبًا، هذه الشجرة لا تطرح إلا في السودان ومصر تحديداً أقصى صعيد مصر في جبل برية الأساس بنقادة.",السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
125,25.8317060405789,32.7017989113475,دير القديس بستناؤس,Monastery of St. Bustanas,العصر الحديث,محافظة قنا,"دير الأنبا بسنتاؤس بنقادة ويُعرف مُختصراً باسم دير القديس، هو دير قبطي أرثوذكسي وأحد الأديرة العامرة بصحراء نقادة غرب النيل . يقع الدير علي بعد 12كم غرب مدينة نقادة، ويبعد بحوالي 200 متر الي الجنوب الشرقي عن دير مار جرجس المجمع كما يقع بين دير الصليب ودير ماربقطر ويبعد عند دير الملاك حوالى 6.5 كم، وتعتبر الكنيسة هي ماتبقى من الكنيسة القديمة وهي كنيسة من الكنائس القرن الـ 18و19 ميلادية وهي ذات اثنتا عشر قبة وان كانت استدارة الحائط القبلى والبحرى، وباب الكنيسة في منتصف الحائط البحرى ويوجد بالجبل غرب الدير اثار كثيرة لأديرة ومغارات مهدمة وبها كثير من الفخار القبطى وهي غالباً ماكانت من بقايا الحياة الرهبانية لمنطقة نقادة آنذاك",السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
126,25.8152954474042,32.7055556995038,دير ماربقطر,Maribqatar Monastery,العصر الحديث,محافظة قنا,"دير الشهيد العظيم ماربقطر بن رومانوس بحاجر اسمنت بنقادة ويُعرف مُختصراً باسم دير ماربقطر، هو دير قبطي أرثوذكسي يقع بالحاجز الغربي بجبل بشلاو بحاجر غرب قرية الأوسط قمولا بنقادة علي ربوة ترتفع 10 متر عن سطح الأرض المجاورة لها.",السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
127,28.9252296702244,32.3511566418856,دير الأنبا أنطونيس,Monastery of Anba Anthony,العصر الحديث,محافظة البحر الأحمر,"دير الأنبا أنطونيوس من أقدم أديرة العالم، وتم بناؤه في العصر البيزنطي، ويقع تحت سفح جبل القلزم بسلسلة جبال الجلالة القبلية، ويبدأ طريق الدير بعد مسافة 25 كم من الزعفرانة جنوبا متفرعا من الطريق الرئيسي، بأمتداد 12.5 كم غربا داخل الصحراء الشرقية بطريق رأس غارب الزعفرانة شمال محافظة البحر الأحمر، وأنشأه الأنبا أنطونيوس مؤسس الرهبنة القبطية في نهاية القرن الرابع الميلادي، وهو أول دير أُنشئ للرهبنة في العالم، وثاني أكبر الأديرة بعد دير سانت كاترين بسيناء، وتبلغ مساحته حوالي 18 فداناً، ويحيط بالدير القديم أسوار ضخمة من الحجر.",السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
128,28.8475416258584,32.5505133633463,دير الأنبا بولا,Monastery of Anba Paula,العصر الحديث,محافظة البحر الأحمر,"تأسس دير القديس بول أو دير انبا بولا في القرن الرابع الميلادي، وهو من المزارات الأثرية التي تجذب أعداداً كبيرةً من السياح كل عام، ويضم 3 كنائس أثرية مُشيّدة فوق المغارة التي عاش فيها القديس بولا، كما يحتضن عين ماء وصوامع للسكن والعبادة ومجموعة من الأدوات التي يستخدمها الرهبان الذين يعيشون فيه إلى يومنا هذا.",السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
129,26.3375090155590,31.8961482076404,المسجد الصينى,Chinese mosque,العصر الحديث,محافظة سوهاج,وسمي بالمسجد الصيني نسبة إلى البلاطات الزخرفية التي تغطي جدار القبلة وبعض أجزاء من جدرانه وتم إنشاء هذا المسجد على يد محمد بك الفقاري في موضع آخر ولكن بعد حدوث الفياضان وزحف البحر على هذا المسجد تم إنقاذ بلاطات القيشاني وأجزائها ونقل إلى موضعه الحالي (1202-1209 هـ ) على يد الشيخ عبد المنعم أبو بكري الخياط وتم تجديده على يد حسن الأشقر (1324-1905هـ ).و يقع المسجد في منطقة القيسارية وقد بنيت جدرانه بالطوب المحروق فيما عدا كتلة المدخل الرئيسي الموجود بالجهة الشمالية حيث بنيت بالحجر ويبلغ سمك كل جدار من جدران المسجد حوالي 1 متر .,السياحة الأثرية والتاريخية,,مسجد تاريخى,مصر,,,,,,,,
130,26.5613278767719,31.7062177927126,متحف سوهاج القومي,Sohag National Museum,العصر الحديث,محافظة سوهاج,"وقع الاختيار على موقع متحف سوهاج على شاطئ النيل تأكيدًا على دور نهر النيل فى استقرار الحضارة وازدهارها، والمتحف مقام على مساحة 5600 م مربع تقريبا ويتكون من طابقين وبدروم. ويعرض المتحف أهم القطع الأثرية التي استخرجت من مواقع متفرقة بالمحافظة، ويصل عددها إلى أكثر من 7000 قطعة أثرية، وينفرد المتحف بعرض عدد من المومياوات النادرة. ويتناول العرض المتحفي أهم ملوك مصر الفرعونية الذين خرجوا من أرض سوهاج، كما يلقي الضوء على الديانة المصرية القديمة ومنسك الحج إلى أبيدوس، بالإضافة إلى التراث الشعبي للمحافظة وأهم حرفها وصناعاتها، وقد صمم متحف سوهاج من الخارج على شكل معبد سيتى الأول بأبيدوس مركز البلينا.",السياحة الأثرية والتاريخية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/2021-09-05.jpg',,,,,,
131,26.5906679238811,31.7923976539705,دير القديسة العذراء مريم بأخميم,Monastery of the Virgin Mary in Akhmim, العصر اليونانى والرومانى والبيزنطى,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
132,26.6065403860647,31.7895859466392,دير الملاك ميخائيل بأخميم,Archangel Michael Monastery in Akhmim, العصر اليونانى والرومانى والبيزنطى,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
133,26.5983976753694,31.7914061610049,دير الشهداء بأخميم إيبارشيه,Monastery of the Martyrs Akhmim Diocese, العصر اليونانى والرومانى والبيزنطى,محافظة سوهاج,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
134,28.8475416258584,32.5505133633463,دير الأنبا بولا,Monastery of Anba Paula, العصر اليونانى والرومانى والبيزنطى,محافظة البحر الأحمر,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
135,25.3704157629066,32.4806429569978,دير الفاخـورى/ ديـر الشــهداء,Monastery of Al-Fakhouri/ Monastery of the Martyrs, العصر اليونانى والرومانى والبيزنطى,محافظة الأقصر,,السياحة الأثرية والتاريخية,,أديرة وكنائس,مصر,,,,,,,,
151,26.1362569774437,32.1687292574510,قناطر نجع حمادى,Nag Hammadi Barrages,العصر الحديث,محافظة قنا,تعد قناطر نجع حمادى واحدة من أقدم القناط على مستوى الجمهورية وأحد ظأقدم المعالم التاريخية بمحافظة قنا ولها أهمية استراتيجية كبيرة وطراز معمارى فريد حيث يعود تاريخ إنشائها إلى عام 1928م فى هد الملك فؤاد الأول والتى افتتحها عام 1930 لرى آلاف الأفدنة الزراعية من نجع حمادى حتى أسيوط.,السياحة الأثرية والتاريخية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/20220407144643287.jpg',,,,,,
152,26.0516143732326,32.7863426380417,متحف السيرة الهلالية أبنود,"Al-Sirah Al-Hilalia Museum, Abnoud",العصر الحديث,محافظة قنا,"متحف السيرة الهلالية بقرية أبنود مركز ومدينة قنا، مسقط رأس الشاعر الراحل عبدالرحمن الأبنودى، يعد تتويجًا لرحلة استمرت ربع قرن من البحث والتحقيق عن روايات السيرة الهلالية ومراحل جمعها.",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,,,,,,,,
155,25.8828325490300,32.6955498807747,دير رئيس الملائكة ميخائيل,Monastery of the Archangel Michael, العصر اليونانى والرومانى والبيزنطى,محافظة قنا,,السياحة الأثرية والتاريخية,,,مصر,,,,,,,,
156,25.8484374021507,32.7036464262812,دير الصليب ولأنبا شنودة,Monastery of the Cross and Anba Shenouda, العصر اليونانى والرومانى والبيزنطى,محافظة قنا,,السياحة الأثرية والتاريخية,,,مصر,,,,,,,,
157,25.8496521241258,32.7042414225393,دير الأنبا أدراوس,Monastery of Anba Adraos, العصر اليونانى والرومانى والبيزنطى,محافظة قنا,,السياحة الأثرية والتاريخية,,,مصر,,,,,,,,
158,25.8317060405789,32.7017989113475,دير القديس بستناؤس,Monastery of St. Bustanas, العصر اليونانى والرومانى والبيزنطى,محافظة قنا,,السياحة الأثرية والتاريخية,,,مصر,,,,,,,,
159,25.8152954474042,32.7055556995038,دير ماربقطر,Maribqatar Monastery, العصر اليونانى والرومانى والبيزنطى,محافظة قنا,,السياحة الأثرية والتاريخية,,,مصر,,,,,,,,
165,23.8679250217458,34.4668347762815,منطقة أبرق,Abraq area, العصر اليونانى والرومانى والبيزنطى,محافظة البحر الأحمر,"تعد أحد أهم المناطق داخل محمية جبل علبة، لما تتميز به من أهمية تاريخية لما مرت به من عصور فرعونية، ورومانية، وإسلامية، حيث تشمل المنطقة العديد الوديان مثل  ""العرقة، عيقات، الجاهلية، الامريت، قمبيت، أبو سعفة""، حيث تضم العديد من النباتات الطبية، أن تلك الوديان تمثل موطنًا لحيوانات برية كثيرة منها الغزال والوبر والتيتل التي تتواجد بكثرة في منطقة أبوسعفة.منطقة «ابرق» في جنوب البحر الأحمر حيث توجد «الشلاتين» من أهم مناطق محمية جبل علبة، سواء لطبيعتها الخلابة أو لأهميتها التاريخية، حيث مرت عليها حضارات متعددة فرعونية ورومانية وإسلامية، ويمتزج فيها البشر مع الحجر والنبات والحيوان لتنسج جمالها الخاص . وهناك العديد من الوديان في تلك المنطقة مثل العرقة وعيقات والجاهلية والامريت وقمبيت وأبو سعفة، كما تمثل موطنا لحيوانات برية كثيرة منها الوبر والتيتل والضب والماعز الجبلي البري والحردون وقاضى الجبل والنسر والرخمة المصرية والغزال والعديد من الطيور التي لا تتكاثر إلا في هذه المنطقة من مصر. وتعيش في ""ابرق"" ثلاث قبائل أساسية تعد جزءًا لا يتجزأ من البيئة المحلية، وهى قبيلة البشارية التي تتحدث «البيداوية»، وقبيلة العبابدة التي تعيش في المناطق الشمالية، وقبيلة الرشايدة التي تسكن السهل الساحلي، ويعد الرعي هو نشاطهم الأساسي كما يوجد نشاط تجاري وصناعي خاص يعتمد على الصناعات اليدوية، ولهم كذلك ثقافتهم وفنونهم الخاصة وتعبر عنها بصفة أساسية آلة الطنبور الموسيقية ورقصة الهويست. ويوجد في ""أبو سعفة"" بالمنطقة نقوش جدارية من عصور ما قبل التاريخ وآثار فرعونية، وحينما تتحرك قليلا إلى ناحية الجنوب تجد جبلا متوسط الارتفاع يحمل اسم ابرق، وعلى قمته قلعة ابرق، وهى من أقدم القلاع الرومانية لمراقبة طرق الذهب بالصحراء الشرقية، ويحيط الجبل بالقرية التي يعيش أهلها في هدوء وسكينة تتناغم مع هيبة وجلال الجبل. وتعتبر  منطقة ""ابرق"" من أهم مناطق محمية جبل علبة لما تحويه من آثار، وخاصة تلك البوابة المنحوتة في صخور جبال أبو سعفة وتسمى ببوابة المياه والتي يعود تاريخها إلى العصور الفرعونية القديمة، كما يوجد ضريح الشيخ حميد الذي يمتد نسبه إلى الزبير بن العوام والسيدة أسماء بنت أبى بكر ويقام له احتفال سنوي في ذكرى مولده ويوجد بها العديد من النباتات في المنطقة معظمها نباتات طبية، كما أن بها العديد من الآبار التي تصلح لزراعة النباتات الطبية والعطرية.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/65991-%D8%A3%D8%A8%D8%B1%D9%82-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1-(4).jpg',,,,,,
168,27.1904611239597,33.8324792001031,نادي سندباد المائي,Sinbad Aqua Club,,محافظة البحر الأحمر,"يوفّر لك هذا المنتزه المائي مزيجا رائعا من الأجواء الإستوائية والترفيهية الأحدث في مدينة الغردقة، ويقدّم الكثير من الأنشطة والبرامج الخاصة بالكبار وبالأطفال (برامج الرسوم المتحركة) وغيرها الكثير.",السياحة الترفيهية,,,مصر,,,,,,,,
169,27.1885884976440,33.8220855688576,معرض اخناتون مصر,Akhenaten Exhibition Egypt,,محافظة البحر الأحمر,"معرض أخناتون مصر عبارة عن متحف ومعرض للهدايا التذكارية المصرية الرائعة من منحوتات وإكسسوارات الذهب والفضة والأعمال اليدوية والحقائب وغيرها،",السياحة الترفيهية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/akhenaten-egypt-gallery.jpg',,,,,,
170,24.0836195893934,32.8890531072607,حديقة الأميرة فريال,Princess Ferial Park,العصر الحديث,محافظة أسوان,"تم إنشاؤها في الأربعينيات برعاية من الأميرة فريال ابنة الملك فاروق، وأطلق اسمها علي الحديقة تقديرًا لدورها في إنشائها. تمتاز حديقة فريال بأنها من داخلها يتمكن أي شخص متابعة غروب الشمس حتي تغرق في نهر النيل والتي تعتبر متعة كل سائح يزور أسوان حيث تضم مدرجات جرانيتية تطل علي أجمل جزء من نهر النيل بزرقته المبهرة، وتصميم الحديقة ليس له نظير.",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/2021-07-16.jpg',,,,,,
171,25.6865099466849,32.6314976424290,الرحلات النيلية نايل كروز,Nile cruise Nile cruise,,محافظة الأقصر,البواخر النيلية العائمة 2023 - رحلة نيلية في مركب علي النيل,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/jardins-feryal-aswan-3.jpg',,,,,,
172,27.0410956780111,33.8523825917681,سهل حشيش,Sahl Hasheesh,,محافظة البحر الأحمر,سهل حشيش هي منطقة سياحية تقع على بعد 25 كيلو مترا جنوب مدينة الغردقة على الشريط الساحلي للبحر الأحمر. ويعد من أحدث المشاريع السياحية العملاقة على سواحل البحر الأحمر. وقد تم بناء مركز مدينة صغير له ويضم حتى الآن ستة منتجعات سياحية من الطراز الأول والمتوقع افتتاحهم رسميا في أواخر عام 2007.,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/Sahl_hasheesh4.jpg',,,,,,
173,27.1771265294933,33.8245912693156,نادى الرياضات البحرية,Marine Sports Club,,محافظة البحر الأحمر,"نادي الرياضات البحرية، نادي رياضي في الغردقة، هو نادي رياضي اجتماعي سمي نادي الرياضات البحرية لمحافظة البحر الأحمر وقد تم تأسيسه عام 1981، وهو يعتبر أيضا من أكبر نوادي الغردقة",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/downloadiuuu7.jpg',,,,,,
174,27.3930505269016,33.6761546508932,مركز الترفيه تشيكي مونكيز بالجونة,Cheeky Monkeys Entertainment Center El Gouna,,محافظة البحر الأحمر,"يقع ملعب ومركز الترفيه تشيكي مونكيز في مدينةِ الجونة، ويُعد المُتنفس الأول لأطفالها الباحثين عن الترفيه والمغامرة في بيئةٍ حديثةٍ آمنة. ويضم المركز ملعب داخلي مُجهز بالكامل مع منطقة مُخصصة لجلوس الأهالي، بالإضافةِ إلى ملعبٍ خارجي يضم الزحاليقَ وأبراج التسلق والأراجيح ومسارات المشي والركض والدراجات.",السياحة الترفيهية,,,مصر,,,,,,,,
175,27.3775537741799,33.6609783872186,مدينة الملاهى المائية,Water amusement park,,محافظة البحر الأحمر,"المتنزهات المائية أو الحدائق المائية هي نوع من أنواع مدن الألعاب الترفيهية التي تتضمن وجود أماكن للعب في الماء. تتضمن المتنزهات المائية وجود العديد من الألعاب المائية مثل زلاقة مائية Water slide وغيرها، بالإضافة إلى وجود أماكن لنشاطات متعددة مثل الاستحمام الترفيهي والسباحة ونشاطات أخرى تمارس بالحفاء.",السياحة الترفيهية,,حدائق ومتنزهات,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/shutterstock_15903796-1-1-1-1-1-800x534.jpg',,,,,,
176,26.9833500095910,33.8727602818276,منتزه مكادى المائى,Makadi Water Park,,محافظة البحر الأحمر,مكادي ووتر وورلد هي أكبر مدن الملاهي والألعاب المائية في مصر بمساحتها التي تتسع لنحو 50 لعبة تشغل 40 ألف متر مربع من إجمالي مساحة خليج مكادي الذي يعد من أهم أماكن السياحة في مصر .,السياحة الترفيهية,,حدائق ومتنزهات,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/IMG_20220104_155632.jpg',,,,,,
177,25.2560960250887,34.7883808911489,حديقة أكواتيكو المائية,Aquatico Water Park,,محافظة البحر الأحمر,"حديقة أكواتيكو المائية في قرية مرسى علم، تعتبر حديقة مائية متكاملة، حيث تقدم تجربة فريدة للعائلات والافراد، ضمن أجواء مليئة بالتشويق والمغامرة، اذ أن الحديقة تضم عدد من البرك المائية التي تختلف اعماقها، منها المناسب للأطفال ومنها المناسب للبالغين، مع عدد من الزحاليق التي تختلف ارتفاعاتها، واشكالها",السياحة الترفيهية,,حدائق ومتنزهات,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/dfd17317-f30b-4197-91b0-8f963b7b7b6a_sm.jpg',,,,,,
178,26.0252512520296,34.3240283858177,شاطئ روهانو,Rohano Beach,,محافظة البحر الأحمر,له أحد الوجهات المفضلة عند الأشخاص الراغبين بالاسترخاء وقضاء وقت جميل برفقة اصدقائهم وعائلاتهم,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/5a591c53-6c06-49a2-9f4c-bdbec3b6ee31_xs.jpg',,,,,,
179,27.1881186523964,33.8340780300165,غواصات السندباد‎‎,Sinbad submarines,,محافظة البحر الأحمر,تبدأ رحلة الغواصة السندباد الغردقة بالتحرك و الإبحار بالمركب السياحى الخاص بنا حتى نصل الى العائمة البحريه الخاصة بالغواصة السندباد على العائمة البحريه يوجد متحف اسماك بحريه محنطة للتمتع بمناظر الاسماك المحنطة نبدأ بعد ذلك بركوب الغواصة السندباد و الاتجاه نحو المنطقة التى نبدا بالغوص فى اعماق البحر الأحمر حوالى 15 الى 20 متر  تبدا الغواصة السندباد جولتها حوالى 45 دقيقة وسط الشعاب المرجانيه و اسماك البحر الأحمر النادره,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/20221026_102139-01.jpeg',,,,,,
180,26.9880153896269,33.8563167650347,مينى ايجيبت بارك,Mini Egypt Park,,محافظة البحر الأحمر,"ويقع متحف «ميني إيجيبت بارك» في خليج مكادي بمدينة الغردقة الساحلية، أشهر مدن البحر الأحمر التي حصلت أخيرًا على أفضل وجهة سياحية عربية، ويحتوي المتحف على مجسمات مصغرة للمعالم السياحية الأكثر شهرة بمصر.",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/2022-07-29.jpg',,,,,,
181,27.1902239035470,33.8324921386896,الممشى السياحي,Tourist walkway,,محافظة البحر الأحمر,"يضم الممشى أماكن ترفيهية للعب الأطفال، وكذلك أماكن للجلوس، بها مظلات شمسية لجلوس الأسر، وتوافد العائلات عليه فى المساء والصباح.  كما يضم الممشى السياحى بمدينة الغردقة عددا كبيرا من البازارات السياحية، والعلامات التجارية العالمية المختلفة فى تلك المنطقة، والتى يتردد ويقوم بالشراء منها سياح من كل دول العالم.  وتضم مدينة الغردقة عددا كبيرا من مناطق الترفيه المختلفة منها الممشى السياحى القديم، وممشى الشيرتون، وممشى شيرى وكذلك حديقة وممشى النصر، وممشى طريق المطار، وكذلك كورنيش فلفلة الشهير وكورنيش شاطئ عام رقم 4",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/45682.jpg',,,,,,
182,27.1960527810122,33.8233858854086,متحف ورق البردي,Papyrus Museum,,محافظة البحر الأحمر,"متحف ورق البردي هو عبارة عن متحف ومتجر تاريخي يضم ورق البردي القديم، وهو أكبر صالة بردية في مصر.",السياحة الترفيهية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/unnamed.jpg',,,,,,
183,27.1885884976440,33.8220855688576,معرض اخناتون مصر,Akhenaten Exhibition Egypt,,محافظة البحر الأحمر,"معرض أخناتون مصر عبارة عن متحف ومعرض للهدايا التذكارية المصرية الرائعة من منحوتات وإكسسوارات الذهب والفضة والأعمال اليدوية والحقائب وغيرها،",السياحة الترفيهية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/akhenaten-egypt-gallery.jpg',,,,,,
184,27.1904611239597,33.8324792001031,نادي سندباد المائي,Sinbad Aqua Club,,محافظة البحر الأحمر,"هذا المنتزه المائي مزيجا رائعا من الأجواء الإستوائية والترفيهية الأحدث في مدينة الغردقة، ويقدّم الكثير من الأنشطة والبرامج الخاصة بالكبار وبالأطفال",السياحة الترفيهية,,,مصر,,,,,,,,
185,27.0998647113070,33.8231323051909,متحف الرمال بالغردقة,Sand Museum in Hurghada,,محافظة البحر الأحمر,"ويضم عددا كبيرا من التماثيل التاريخية والاسطورية المصنوعة من الرمال البيضاء بحرفية كبيرة .يقع متحف الرمال جنوب الغردقة، ويضم أكثر من 40 تمثال من المنحوتات بالرمال لشخصيات أسطورية من العصر الحديث والقديم، تمثل أغلب حضارات العالم منها الحضارة الفرعونية ومجسمات لعجائب الدنيا السبع الاهرامات وأبو الهول.",السياحة الترفيهية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/IMG_20230108_150340.jpg',,,,,,
186,27.1341668141266,33.7809553309102,فالكو سفاري,Falco Safari,,محافظة البحر الأحمر,مغامرات مشي وتسلق وركوب عربات دفع رباعي وتخييم وغيرها الكثير. كما ويمكن مع الشركة الحصول على جولات خاصة في الصحراء برفقة مرشد.,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/IMG_5461.JPG',,,,,,
187,27.2240973041097,33.8409517122752,قارب روبال سي سكوب ذا القاع الزجاجي,Rupal Glass Bottom Sea Scoop Boat,,محافظة البحر الأحمر,هذا القارب هو احد أجمل القوارب في الغردقة ويمتاز بقاعه الزجاجي الذي يسمح برؤية المياه والحياة البحرية والمرجان خلال تجوال السفينة في البحر الأحمر,السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/45678.jpg',,,,,,
188,27.2240313734272,33.8410232794340,قارب ابحار القراصنة,Pirate sailing boat,,محافظة البحر الأحمر," تم صنعة على الطرق القديمة، وعلى الرغم من ذلك فهو آمن إلى حد كبير ويمكن للزوار فيه قضاء وقت رائع برفقة اصدقائهم وعائلاتهم. ويأخذ القارب الزوار في رحلات رومانسية ساحرة عبر الخلجان على ساحل البحر الأحمر، وتستمر الرحلة لمدة تزيد عن ساعتين.",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/23e0f7e7-d502-4476-a11d-b99d054f9d54_sm.jpg',,,,,,
189,27.2605476152417,33.8282480644991,قارب الملكة إيزيس تريماران,Queen Isis trimaran boat,,محافظة البحر الأحمر,"قارب الملكة إيزيس تريماران هو وجهة ترفيهية مفضلة عند المحليين والسياح في المدينة، إذ أنه يأخذ الزوار في رحلة رائعة على ساحل البحر الأحمر. ويمكن للزوار الاستمتاع بالمظاهر الخلابة وبالإطلالات الساحرة وبالهدوء من مقاعدهم أعلى السفينة",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/23e0f7e7-d502-4476-a11d-b99d054f9d54_sm.jpg',,,,,,
190,27.2238137279378,33.8427196395258,ميناء مارينا الغردقة,Hurghada Marina Port,,محافظة البحر الأحمر,"قدم ميناء مارينا الغردقة مظهرًا جديدًا للمدينة، حيث يمكن للسياح القادمين من مختلق أنحاء العالم والمقيمين المحليين المشي فيه في فترة ما بعد الظهر واستنشاق هواء البحر المنعش في الليل بعيدًا عن الضوضاء ودون أي إزعاج.",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/2022-09-02.jpg',,,,,,
191,25.5339592301724,34.6368285380405,قارب نفرتاري,Nefertari boat,,محافظة البحر الأحمر,"ارب نفرتاري، هو قارب يقدم جولات سياحية على اعلى مستوى، ويشتهر القارب بسبب تصميمه المستوحى من العصور الذهبية الفرعونية، المنعكسة في كافة تفاصيلها",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/images.jpg',,,,,,
192,25.9414358355039,34.3332532594677,القرية البدوية,Bedouin village,,محافظة البحر الأحمر,"قرية البدوية هي معلم يقع في قلب صحراء مدينة القصير، وسيتمكن زوار هذه القرية من التعرف على السكان البدو للصحراء كما وتناول أطباقهم الشهية كالزرب وركوب الجمال وركوب عربات الدفع الرباعي الصغيرة كما والتخييم في قلب الصحراء.",السياحة الترفيهية,,متاحف,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/7654.jpg',,,,,,
193,25.7077586684824,32.6313649221372,اسطبلات الأقصر,Luxor Stables,,محافظة الأقصر,"تعود ملكية الأقصر للفروسية إلى إيما وهي سيدة بريطانية. تقدم هذه نفس معايير الجودة والسلامة المعروفة، وتتخصص في رحلات ركوب الخيل الفريدة من نوعها لجميع المستويات والفئات. قم بزيارة القرى البدوية المحلية المحيطة، وشاهد المزارعين الذين يعملون في حقولهم ورعي الجواميس في مياه النيل الضحلة، ومزارع من قصب السكر والمراعي الخصبة والآثار المصرية القديمة على الضفة الغربية لنهر النيل الشهير أثناء امتطاء أحد الخيول العربية الجميلة",السياحة الترفيهية,,,مصر,,src='https://github.com/nasser9008/masterpicture/blob/main/078.JPG',,,,,,
